,timestamp,flex_1,flex_2,flex_3,flex_4,IMU_status,yaw,pitch,row
0,0.027,153.00,18.00,17.00,17.00,3,143.20,20.91,-158.54
1,527.081,119.00,94.00,95.00,94.00,3,128.01,14.10,-157.94
2,1064.5990000000002,92.00,60.00,61.00,63.00,3,136.31,25.31,-158.02
3,1675.579,84.00,69.00,71.00,70.00,3,172.87,41.30,-147.09
4,2069.925,51.00,35.00,35.00,33.00,3,169.73,42.45,-145.04
5,2598.701,51.00,51.00,48.00,51.00,3,168.95,41.40,-146.90
6,3125.802,39.00,27.00,23.00,23.00,3,166.61,39.00,-152.12
7,3663.358,32.00,16.00,16.00,16.00,3,158.08,39.07,-163.14
8,4145.525000000001,17.00,11.00,10.00,8.00,3,155.25,38.06,-162.70
9,4682.499,19.00,29.00,30.00,30.00,3,156.50,36.40,-162.84
10,5178.366999999999,70.00,69.00,69.00,68.00,3,155.84,37.65,-165.95
11,5705.847000000001,95.00,82.00,80.00,79.00,3,154.08,37.87,-163.80
12,6240.601,104.00,88.00,87.00,86.00,3,155.20,39.32,-162.62
13,6739.799,109.00,96.00,96.00,96.00,3,156.59,39.51,-163.45
14,7256.685,114.00,97.00,95.00,93.00,3,157.73,40.31,-164.86
15,7808.1449999999995,84.00,61.00,60.00,60.00,3,159.19,41.43,-167.12
16,8291.505000000001,73.00,39.00,39.00,42.00,3,159.45,42.97,-166.54
17,8812.412999999999,47.00,22.00,22.00,23.00,3,156.51,38.14,-162.33
18,9317.973,24.00,9.00,9.00,9.00,3,154.48,34.11,-159.75
19,9846.57,21.00,4.00,3.00,2.00,3,146.29,22.63,-154.56
20,10356.497,55.00,39.00,38.00,38.00,3,139.69,19.23,-156.96
21,10884.800000000001,65.00,43.00,44.00,40.00,3,138.71,21.05,-153.33
22,11403.682999999999,85.00,81.00,82.00,81.00,3,140.53,35.49,-159.27
23,11917.33,102.00,86.00,86.00,86.00,3,145.55,34.08,-155.87
24,12427.647,101.00,53.00,54.00,51.00,3,146.64,32.09,-159.75
