,timestamp,flex_1,flex_2,flex_3,flex_4,IMU_status,yaw,pitch,row
0,0.028,145.00,131.00,131.00,131.00,3,-173.29,20.30,-161.77
1,526.257,172.00,143.00,145.00,144.00,3,-172.15,19.71,-162.65
2,1064.995,163.00,133.00,130.00,127.00,3,-164.00,31.34,-152.53
3,1560.664,155.00,111.00,112.00,113.00,3,-166.21,22.53,-155.25
4,2085.93,96.00,50.00,49.00,50.00,3,-165.81,22.18,-154.96
5,2613.741,62.00,22.00,20.00,22.00,3,-165.89,25.98,-153.68
6,3108.18,12.00,4.00,6.00,7.00,3,-168.22,28.32,-151.74
7,3647.965,15.00,8.00,9.00,9.00,3,-166.51,23.09,-155.92
8,4138.8369999999995,9.00,4.00,5.00,2.00,3,-163.01,15.69,-161.58
9,4677.455,19.00,13.00,17.00,17.00,3,-163.79,8.76,-161.36
10,5185.732,117.00,63.00,62.00,61.00,3,-162.48,9.46,-163.71
11,5704.616,162.00,125.00,121.00,121.00,3,-161.18,19.02,-171.62
12,6231.355,172.00,139.00,136.00,135.00,3,-160.50,25.79,-155.98
13,6747.677000000001,163.00,143.00,142.00,143.00,3,-159.15,26.33,-156.21
14,7248.017,134.00,101.00,100.00,102.00,3,-159.54,26.02,-157.95
15,7775.784,37.00,21.00,21.00,22.00,3,-159.93,25.89,-160.20
16,8283.241,15.00,7.00,9.00,7.00,3,-158.92,29.95,-155.53
17,8829.081,15.00,7.00,7.00,5.00,3,-160.64,18.29,-162.39
18,9344.832,88.00,44.00,45.00,43.00,3,-162.81,11.08,-162.75
19,9846.03,164.00,119.00,119.00,117.00,3,-162.71,13.19,-162.10
20,10370.576,169.00,128.00,137.00,137.00,3,-161.66,27.22,-156.45
21,10991.591,172.00,134.00,134.00,134.00,3,-161.95,32.93,-156.78
22,11426.366,84.00,37.00,37.00,36.00,3,-162.16,30.56,-159.21
23,11924.017,24.00,7.00,6.00,7.00,3,-163.15,31.89,-158.76
24,12421.965999999999,23.00,10.00,11.00,11.00,3,-165.86,34.46,-153.79
25,12950.411,16.00,6.00,7.00,7.00,3,-167.91,22.76,-154.56
